State/UT,Year, Geographical Area,Total Forest Cover Area,Very Dense,Moderately Dense,Open Forest, Scrub Land,Mangrove,SO2,NO2,RSPM,SPM,PM25,Annual Rainfall
Andaman and Nicobar Islands,1987,8249.0,6917.0,6807.0,0.0,110.0,0.0,686.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar Islands,1989,8249.0,6651.0,6518.0,0.0,133.0,0.0,973.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar Islands,1991,8249.0,6651.0,6583.0,0.0,68.0,4.0,971.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar Islands,1993,8249.0,6658.0,6567.0,0.0,91.0,4.0,966.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar Islands,1995,8249.0,6649.0,6524.0,0.0,125.0,0.0,966.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar Islands,1997,8249.0,6647.0,6520.0,0.0,127.0,0.0,966.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar Islands,1999,8249.0,6640.0,6515.0,0.0,125.0,0.0,966.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar Islands,2001,8249.0,6930.0,6593.0,0.0,337.0,0.0,789.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar Islands,2003,8249.0,6964.0,3475.0,2809.0,680.0,1.0,658.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar Islands,2005,8249.0,6629.0,3359.0,2646.0,624.0,3.0,637.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar Islands,2007,8249.0,6662.0,3762.0,2405.0,495.0,53.0,615.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar Islands,2009,8249.0,6662.0,3762.0,2405.0,495.0,0.0,615.0,0.0,0.0,0.0,0.0,0.0,0.0
