State/UT,Year, Geographical Area,Total Forest Cover Area,Very Dense,Moderately Dense,Open Forest, Scrub Land,Mangrove
India,2019,3287469.0,712249.0,99278.0,308472.0,304499.0,42084.4,4975.0
Andhra Pradesh,2019,162968.0,29137.0,1994.0,13938.0,13205.0,8255.0,404.0
Arunachal Pradesh,2019,83743.0,66688.0,21095.0,30557.0,15036.0,229.0,0.0
Assam,2019,78438.0,28327.0,2795.0,10279.0,15253.0,173.0,0.0
Bihar,2019,94163.0,7306.0,333.0,3280.0,3693.0,250.0,0.0
Chattisgarh,2019,135192.0,55611.0,7068.0,32198.0,16345.0,610.0,0.0
Delhi,2019,1483.0,195.44,6.72,56.42,132.3,0.3,0.0
Goa,2019,3702.0,2237.0,538.0,576.0,1123.0,0.0,26.0
Gujarat,2019,196244.0,14857.0,378.0,5092.0,9387.0,2994.0,1177.0
Haryana,2019,44212.0,1602.0,28.0,451.0,1123.0,154.0,0.0
Himachal Pradesh,2019,55673.0,15434.0,3113.0,7126.0,5195.0,315.0,0.0
Jammu & Kashmir,2019,222236.0,23612.0,4281.0,8612.0,10719.0,250.0,0.0
Jharkhand,2019,79716.0,23611.0,2603.0,9687.0,11321.0,298.0,0.0
Karnataka,2019,191791.0,38575.0,4501.0,21048.0,13026.0,548.0,10.0
Kerala,2019,38852.0,21144.0,1935.0,9508.0,9701.0,688.0,9.0
Madhya Pradesh,2019,308252.0,77482.0,6676.0,34341.0,36465.0,4484.0,0.0
Maharashtra,2019,307713.0,50778.0,8721.0,20572.0,21485.0,13.0,320.0
Manipur,2019,22327.0,16847.0,905.0,6386.0,9556.0,6002.0,0.0
Meghalaya,2019,22429.0,17119.0,489.0,9267.0,7363.0,4256.0,0.0
Mizoram,2019,21081.0,18006.0,157.0,5801.0,12048.0,1181.0,0.0
Nagaland,2019,16579.0,12486.0,1273.0,4534.0,6679.0,600.0,0.0
Odisha,2019,155707.0,51619.0,6970.0,21552.0,23097.0,1.0,251.0
Punjab,2019,50362.0,1849.0,8.0,801.0,1040.0,635.0,0.0
Rajasthan,2019,342239.0,16630.0,78.0,4342.0,12210.0,4327.0,0.0
Sikkim,2019,7096.0,3342.0,1102.0,1552.0,688.0,33.0,0.0
Tamil Nadu,2019,130060.0,26364.0,3605.0,11030.0,11729.0,307.0,45.0
Telangana,2019,112077.0,20582.0,1608.0,8787.0,10187.0,715.0,0.0
Tripura,2019,10486.0,7726.0,654.0,5236.0,1836.0,3615.0,0.0
Uttar Pradesh,2019,240928.0,14806.0,2617.0,4080.0,8109.0,29.0,0.0
Uttarakhand,2019,53483.0,24303.0,5047.0,12805.0,6451.0,587.0,0.0
West Bengal,2019,88752.0,16902.0,3019.0,4160.0,9723.0,383.0,2112.0
